0:0:0:0:0: addSignalOneAndTwo 
1:48:0:500: phasePattern 
2:48:0:500: phasePattern 
3:48:0:500: phasePattern 
4:48:0:500: phasePattern 
5:48:0:500: phasePattern 
6:48:0:500: phasePattern 
7:48:0:500: phasePattern 
8:48:0:500: phasePattern 
9:48:0:500: phasePattern 
10:48:0:500: phasePattern 
11:48:0:500: phasePattern 
12:48:0:500: phasePattern 
13:48:0:500: phasePattern 
14:48:0:500: phasePattern 
15:48:0:500: phasePattern 
16:48:0:500: phasePattern 
17:48:0:500: phasePattern 
18:48:0:500: phasePattern 
19:48:0:500: phasePattern 
20:48:0:500: phasePattern 
21:48:0:500: phasePattern 
22:48:0:500: phasePattern 
23:48:9600:500: phasePattern 
24:48:6033:500: phasePattern 
25:48:4166:500: phasePattern 
26:48:3566:500: phasePattern 
27:48:3533:500: phasePattern 
28:48:3533:500: phasePattern 
29:48:3533:500: phasePattern 
30:48:3533:500: phasePattern 
31:48:3533:500: phasePattern 
32:48:3533:500: phasePattern 
33:48:3533:500: phasePattern 
34:48:3533:500: phasePattern 
35:48:3533:500: phasePattern 
36:48:3533:500: phasePattern 
37:48:3533:500: phasePattern 
38:48:3533:500: phasePattern 
39:48:3533:500: phasePattern 
40:48:3533:500: phasePattern 
41:48:3533:500: phasePattern 
42:48:3533:500: phasePattern 
43:48:3533:500: phasePattern 
44:48:3533:500: phasePattern 
45:48:3533:500: phasePattern 
46:48:3533:500: phasePattern 
47:48:3533:500: phasePattern 
48:48:3533:500: phasePattern 
49:48:3533:500: phasePattern 
50:48:3533:500: phasePattern 
51:48:3533:500: phasePattern 
52:48:3533:500: phasePattern 
53:48:3533:500: phasePattern 
54:48:3533:500: phasePattern 
55:48:3533:500: phasePattern 
56:48:3533:500: phasePattern 
57:48:3533:500: phasePattern 
58:48:3533:500: phasePattern 
59:48:3533:500: phasePattern 
60:48:3533:500: phasePattern 
61:48:3533:500: phasePattern 
62:48:3533:500: phasePattern 
63:48:3533:500: phasePattern 
64:48:3533:500: phasePattern 
65:48:3533:500: phasePattern 
66:48:3533:500: phasePattern 
67:48:3533:500: phasePattern 
68:48:3533:500: phasePattern 
69:48:3533:500: phasePattern 
70:48:3533:500: phasePattern 
71:48:3533:500: phasePattern 
72:48:3533:500: phasePattern 
73:48:3533:500: phasePattern 
74:18:3533:500: phasePattern 
75:18:3533:500: phasePattern 
76:18:3533:500: phasePattern 
77:18:3533:500: phasePattern 
78:18:3533:500: phasePattern 
79:18:3533:500: phasePattern 
80:18:3533:500: phasePattern 
81:18:3533:500: phasePattern 
82:18:3533:500: phasePattern 
83:18:3533:500: phasePattern 
84:18:3533:500: phasePattern 
85:18:3533:500: phasePattern 
